0 7-button 3 6 1;
113.848 7-button 3 6 1;
25.4718 7-button 3 6 0;
118.385 7-button 3 6 0;
3.51938 7-button 3 6 1;
127.71 7-button 3 6 0;
10.628 7-button 3 6 1;
1 7-button 3 6 0;
58.0319 7-button 3 6 1;
83.8253 7-button 3 6 1;
43.8845 7-button 3 6 0;
99.9727 7-button 3 6 0;
50.957 7-button 7 5 1;
90.9001 7-button 7 5 1;
48.4196 7-button 7 5 0;
95.4376 7-button 7 5 0;
154.177 7-button 3 6 1;
130.537 7-button 3 6 1;
20.3925 7-button 3 6 0;
81.2698 7-button 3 6 1;
41.1949 7-button 3 6 1;
1 7-button 3 6 0;
120.345 7-button 3 6 0;
22.5125 7-button 3 6 0;
186.467 7-button 7 5 1;
98.2471 7-button 7 5 1;
29.4626 7-button 7 5 0;
114.395 7-button 7 5 0;
233.905 7-button 3 6 1;
50.8093 7-button 3 6 1;
111.73 7-button 3 6 0;
32.127 7-button 3 6 0;
49.1431 7-button 3 6 1;
92.7141 7-button 3 6 1;
87.2405 7-button 3 6 0;
56.6167 7-button 3 6 0;
94.313 7-button 7 5 1;
47.5442 7-button 7 5 1;
97.5806 7-button 7 5 0;
46.2766 7-button 7 5 0;
64.0181 7-button 7 5 1;
77.8391 7-button 7 5 1;
55.6758 7-button 7 5 0;
88.1812 7-button 7 5 0;
33.7234 7-button 3 6 1;
108.134 7-button 3 6 1;
89.2358 7-button 3 6 0;
54.6213 7-button 3 6 0;
55.6736 7-button 3 6 1;
86.1836 7-button 3 6 1;
82.1611 7-button 3 6 0;
61.696 7-button 3 6 0;
60.2085 7-button 7 5 1;
81.6487 7-button 7 5 1;
57.6711 7-button 7 5 0;
86.186 7-button 7 5 0;
64.7437 7-button 7 5 1;
77.1133 7-button 7 5 1;
38.9863 7-button 7 5 0;
104.871 7-button 7 5 0;
46.0586 7-button 3 6 1;
95.7983 7-button 3 6 1;
78.3516 7-button 3 6 0;
65.5059 7-button 3 6 0;
91.229 7-button 7 5 1;
50.6279 7-button 7 5 1;
82.8867 7-button 7 5 0;
60.9702 7-button 7 5 0;
78.3496 7-button 3 6 1;
63.5078 7-button 3 6 1;
116.447 7-button 3 6 0;
27.4102 7-button 3 6 0;
344.109 7-button 7 5 1;
83.4629 7-button 7 5 1;
73.272 7-button 7 5 0;
70.585 7-button 7 5 0;
358.984 7-button 3 6 1;
68.5874 7-button 3 6 1;
111.368 7-button 3 6 0;
32.4897 7-button 3 6 0;
31.3647 7-button 7 5 1;
110.492 7-button 7 5 1;
63.6577 7-button 7 5 0;
80.1997 7-button 7 5 0;
64.9248 7-button 7 5 1;
76.9321 7-button 7 5 1;
132.048 7-button 7 5 0;
11.8096 7-button 7 5 0;
75.2651 7-button 7 5 1;
66.5918 7-button 7 5 1;
136.583 7-button 7 5 0;
7.27441 7-button 7 5 0;
50.7759 7-button 3 6 1;
91.0815 7-button 3 6 1;
88.873 7-button 3 6 0;
54.9839 7-button 3 6 0;
299.12 7-button 7 5 1;
128.452 7-button 7 5 1;
39.8931 7-button 7 5 0;
103.964 7-button 7 5 0;
52.771 7-button 3 6 1;
89.0859 7-button 3 6 1;
90.8682 7-button 3 6 0;
52.9893 7-button 3 6 0;
109.551 7-button 3 6 1;
32.3066 7-button 3 6 1;
130.233 7-button 3 6 0;
13.623 7-button 3 6 0;
456.581;
